🔍 Logging to: preprocess-2-epoka-bert-model-80-20-new-dataset\logs.txt
📥 Loading dataset...
Sample rows:
                                                text    label
0  i feel awful about it too because it s my job ...  sadness
1                              im alone i feel awful  sadness
2  ive probably mentioned this before but i reall...      joy
3           i was feeling a little low few days back  sadness
4  i beleive that i am much more sensitive to oth...     love
💾 Saved label mapping → preprocess-2-epoka-bert-model-80-20-new-dataset\label_mapping.json

Label distribution:
label
1    141067
0    121187
3     57317
4     47712
2     34554
5     14972
Name: count, dtype: int64

Train size: 333447, Test size: 83362
🔑 Loading tokenizer and model...
✂️ Tokenizing...
⚙️ Setting training arguments...
🧠 Initializing Trainer...
🚀 Training...
{'loss': 1.2113, 'grad_norm': 6.21142578125, 'learning_rate': 1.990451513842906e-05, 'epoch': 0.01}
{'loss': 0.5292, 'grad_norm': 3.3707284927368164, 'learning_rate': 1.9808550453433137e-05, 'epoch': 0.02}
{'loss': 0.2955, 'grad_norm': 5.257969856262207, 'learning_rate': 1.9712585768437215e-05, 'epoch': 0.03}
{'loss': 0.2681, 'grad_norm': 18.316762924194336, 'learning_rate': 1.9616621083441296e-05, 'epoch': 0.04}
{'loss': 0.2492, 'grad_norm': 11.255817413330078, 'learning_rate': 1.9520656398445373e-05, 'epoch': 0.05}
{'loss': 0.2285, 'grad_norm': 0.28814053535461426, 'learning_rate': 1.9424691713449454e-05, 'epoch': 0.06}
{'loss': 0.1987, 'grad_norm': 7.205999374389648, 'learning_rate': 1.932872702845353e-05, 'epoch': 0.07}
{'loss': 0.1645, 'grad_norm': 5.315292835235596, 'learning_rate': 1.923276234345761e-05, 'epoch': 0.08}
{'loss': 0.1703, 'grad_norm': 5.375304698944092, 'learning_rate': 1.9136797658461686e-05, 'epoch': 0.09}
{'loss': 0.1876, 'grad_norm': 10.5655517578125, 'learning_rate': 1.9040832973465767e-05, 'epoch': 0.1}
{'loss': 0.1635, 'grad_norm': 7.41289758682251, 'learning_rate': 1.8944868288469845e-05, 'epoch': 0.11}
{'loss': 0.1499, 'grad_norm': 4.525338649749756, 'learning_rate': 1.8848903603473922e-05, 'epoch': 0.12}
{'loss': 0.1643, 'grad_norm': 1.7345672845840454, 'learning_rate': 1.8752938918478e-05, 'epoch': 0.12}
{'loss': 0.1528, 'grad_norm': 0.05202838033437729, 'learning_rate': 1.865697423348208e-05, 'epoch': 0.13}
{'loss': 0.1286, 'grad_norm': 3.0624265670776367, 'learning_rate': 1.8561009548486158e-05, 'epoch': 0.14}
{'loss': 0.1332, 'grad_norm': 0.04093509539961815, 'learning_rate': 1.846504486349024e-05, 'epoch': 0.15}
{'loss': 0.1308, 'grad_norm': 1.2379122972488403, 'learning_rate': 1.8369080178494316e-05, 'epoch': 0.16}
{'loss': 0.1299, 'grad_norm': 3.779986619949341, 'learning_rate': 1.8273115493498394e-05, 'epoch': 0.17}
{'loss': 0.118, 'grad_norm': 4.805605411529541, 'learning_rate': 1.817715080850247e-05, 'epoch': 0.18}
{'loss': 0.1294, 'grad_norm': 3.4496591091156006, 'learning_rate': 1.8081186123506552e-05, 'epoch': 0.19}
{'loss': 0.1209, 'grad_norm': 0.03676136955618858, 'learning_rate': 1.798522143851063e-05, 'epoch': 0.2}
{'loss': 0.1162, 'grad_norm': 2.55305814743042, 'learning_rate': 1.7889256753514707e-05, 'epoch': 0.21}
{'loss': 0.1178, 'grad_norm': 0.12071278691291809, 'learning_rate': 1.7793292068518785e-05, 'epoch': 0.22}
{'loss': 0.1171, 'grad_norm': 0.8298123478889465, 'learning_rate': 1.7697327383522866e-05, 'epoch': 0.23}
{'loss': 0.1034, 'grad_norm': 5.795219898223877, 'learning_rate': 1.7601362698526943e-05, 'epoch': 0.24}
{'loss': 0.1126, 'grad_norm': 22.36402130126953, 'learning_rate': 1.7505398013531024e-05, 'epoch': 0.25}
{'loss': 0.1165, 'grad_norm': 0.017551543191075325, 'learning_rate': 1.74094333285351e-05, 'epoch': 0.26}
{'loss': 0.1186, 'grad_norm': 1.2809399366378784, 'learning_rate': 1.731346864353918e-05, 'epoch': 0.27}
{'loss': 0.1223, 'grad_norm': 0.5676462650299072, 'learning_rate': 1.7217503958543257e-05, 'epoch': 0.28}
{'loss': 0.1085, 'grad_norm': 2.430708408355713, 'learning_rate': 1.7121539273547337e-05, 'epoch': 0.29}
{'loss': 0.1079, 'grad_norm': 0.9651837944984436, 'learning_rate': 1.7025574588551415e-05, 'epoch': 0.3}
{'loss': 0.1172, 'grad_norm': 0.09562341868877411, 'learning_rate': 1.6929609903555492e-05, 'epoch': 0.31}
{'loss': 0.1135, 'grad_norm': 4.511486530303955, 'learning_rate': 1.683364521855957e-05, 'epoch': 0.32}
{'loss': 0.1173, 'grad_norm': 1.1844563484191895, 'learning_rate': 1.673768053356365e-05, 'epoch': 0.33}
{'loss': 0.1114, 'grad_norm': 0.8756797909736633, 'learning_rate': 1.6641715848567728e-05, 'epoch': 0.34}
{'loss': 0.1209, 'grad_norm': 0.6778838038444519, 'learning_rate': 1.6545751163571806e-05, 'epoch': 0.35}
{'loss': 0.1119, 'grad_norm': 1.2573176622390747, 'learning_rate': 1.6449786478575887e-05, 'epoch': 0.36}
{'loss': 0.1099, 'grad_norm': 1.3589378595352173, 'learning_rate': 1.6353821793579964e-05, 'epoch': 0.36}
{'loss': 0.1053, 'grad_norm': 3.8440682888031006, 'learning_rate': 1.625785710858404e-05, 'epoch': 0.37}
{'loss': 0.1061, 'grad_norm': 0.8571069836616516, 'learning_rate': 1.6161892423588122e-05, 'epoch': 0.38}
{'loss': 0.1084, 'grad_norm': 0.6643235087394714, 'learning_rate': 1.60659277385922e-05, 'epoch': 0.39}
{'loss': 0.1217, 'grad_norm': 62.28530502319336, 'learning_rate': 1.5969963053596277e-05, 'epoch': 0.4}
{'loss': 0.1037, 'grad_norm': 0.9542425274848938, 'learning_rate': 1.5873998368600355e-05, 'epoch': 0.41}
{'loss': 0.1127, 'grad_norm': 1.817569613456726, 'learning_rate': 1.5778033683604436e-05, 'epoch': 0.42}
{'loss': 0.0953, 'grad_norm': 1.128760814666748, 'learning_rate': 1.5682068998608513e-05, 'epoch': 0.43}
{'loss': 0.1103, 'grad_norm': 2.4315733909606934, 'learning_rate': 1.558610431361259e-05, 'epoch': 0.44}
{'loss': 0.1122, 'grad_norm': 0.8995058536529541, 'learning_rate': 1.5490139628616668e-05, 'epoch': 0.45}
